Title,Link,Thumbnail,Rating,Reviews,Print_Price,Num_Price
"napfun Neck Pillow for Traveling, Upgraded Travel Neck Pillow for Airplane 100% Pure Memory Foam Travel Pillow for Flight Headrest Sleep, Portable Plane Accessories, Light Grey",https://www.amazon.com/dp/B07SRRQS5B/,https://m.media-amazon.com/images/I/81Kdkzn9CWL._AC_UL320_.jpg,4.3,19730,$15.86,15.86
"Skechers Memory Foam Neck Pillow, Comfortable & Breathable Travel Pillow,Neck Pillow Airplane for Travel, Car Rides, Home, and Office Use, Ergonomic Design for Men and Women,Black",https://www.amazon.com/dp/B0F4895TTR/,https://m.media-amazon.com/images/I/71VkHaKP84L._AC_UL320_.jpg,4.2,40,$29.99,29.99
"Sintuff 4 Sets Inflatable Travel Pillows for Airplanes with Compact Bag and Blindfold Velvet Inflatable Neck Pillow for Traveling Head Support U Shaped Flight, 12 x 12 x 5.5 Inch(Multi Color)",https://www.amazon.com/dp/B0C6P1ZQKQ/,https://m.media-amazon.com/images/I/81QcMNzlRPL._AC_UL320_.jpg,4.1,43,$22.99,22.99
"Premium Memory Foam Travel Pillow,Stylish Airplane Pillow with Adjustable Strap,Travel Neck Pillow,Great Gift to Parent, Senior,Adults,for Long Flight,Train,Light Blue",https://www.amazon.com/dp/B0DQPVXMQR/,https://m.media-amazon.com/images/I/711cB8tPmqL._AC_UL320_.jpg,4.4,41,$27.99,27.99
"napfun Neck Pillow for Traveling, Upgraded Travel Neck Pillow for Airplane 100% Pure Memory Foam Travel Pillow for Flight Headrest Sleep, Portable Plane Accessories, Light Grey",https://www.amazon.com/Traveling-Upgraded-Airplane-Headrest-Accessories/dp/B07SRRQS5B/,https://m.media-amazon.com/images/I/81Kdkzn9CWL._AC_UL320_.jpg,4.3,19730,$15.86,15.86
"Advanced Memory Foam Neck Travel Pillow, Neck Pillow Airplane with Eye Mask & Ear Plugs, Designed for The Comfort of Travel & Office, Travel Pillow for Plane, Car, Home, Work, Dark Grey",https://www.amazon.com/Purroch-Advanced-Airplane-Designed-Grey/dp/B0F6MP4495/,https://m.media-amazon.com/images/I/812RujnGm6L._AC_UL320_.jpg,4.8,382,$29.99,29.99
"Travel Pillow 100% Pure Memory Foam Neck Pillow Airplane for Traveling,Car, Train,Napping,Traveling,Washable Cover (Grey)",https://www.amazon.com/GDEOUP-Airplane-Traveling-Napping-Washable/dp/B0B8V6Y2X8/,https://m.media-amazon.com/images/I/61ihsNB0+FL._AC_UL320_.jpg,4.4,4496,$9.99,9.99
"Skechers Memory Foam Neck Pillow, Comfortable & Breathable Travel Pillow,Neck Pillow Airplane for Travel, Car Rides, Home, and Office Use, Ergonomic Design for Men and Women,Green",https://www.amazon.com/Skechers-Comfortable-Breathable-Airplane-Ergonomic/dp/B0F487B988/,https://m.media-amazon.com/images/I/71sByzdLifL._AC_UL320_.jpg,4.2,40,$29.99,29.99
Travel Pillow with Extra Large Hood for Airplane Long Flights Privacy and Comfort Memory Foam with Skin-Friendly Cover for Road Trip Head&Neck Support for Plane Office Cars Sleeping & Rest (Grey),https://www.amazon.com/Airplane-Flights-Privacy-Skin-Friendly-Sleeping/dp/B0DPJFPFFQ/,https://m.media-amazon.com/images/I/812DTQ1AKDL._AC_UL320_.jpg,4.5,260,$23.89,23.89
"Travel Neck Pillow Airplane, Memory Foam Travel Pillows for Comfort on Sleeper Hold Compact and Ergonomic Design for Traveling Car Rides Home Road Trip Essentials for Adults and Kids (Grey)",https://www.amazon.com/RKADIR-Airplane-Ergonomic-Traveling-Essentials/dp/B0F6K2H5WT/,https://m.media-amazon.com/images/I/8184Cz2w-WL._AC_UL320_.jpg,4.3,50,$14.99,14.99
"Premium Quality Memory Foam Travel Neck Pillow Bundle - Best Ergonomic Pillow for Airplane Travel, car Ride, Sleeping. Comes with Eye mask, earplugs and Storage Bag. (Imperial Green)",https://www.amazon.com/dp/B09BF31FP1/,https://m.media-amazon.com/images/I/81j5KpwK15L._AC_UL320_.jpg,4.4,558,$31.99,31.99
